2024-08-05 21:30:40.927 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@5d8bafa9
2024-08-05 21:30:40.927 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@576f63f6
2024-08-05 21:30:40.927 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@2dca0d64
2024-08-05 21:30:40.927 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@f80945f
2024-08-05 21:30:40.927 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@ff684e1
2024-08-05 21:30:40.928 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@23aa363a
2024-08-05 21:30:40.928 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@5ef6ae06
2024-08-05 21:30:40.928 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@55dfebeb
2024-08-05 21:30:40.929 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@6e35bc3d
2024-08-05 21:30:40.929 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@1cdc4c27
2024-08-05 21:30:40.929 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@77b14724
2024-08-05 21:30:40.929 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@5d9b7a8a
2024-08-05 21:30:40.930 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@1e8ce150
2024-08-05 21:30:40.930 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@604f2bd2
2024-08-05 21:30:40.931 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@1d3ac898
2024-08-05 21:30:40.931 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@1b73be9f
2024-08-05 21:30:40.931 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@628c4ac0
2024-08-05 21:30:40.932 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@7b84fcf8
