2024-08-05 15:29:39.471 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'mixmonitorstart' (class org.asteriskjava.manager.event.MixMonitorStartEvent)
2024-08-05 15:29:39.471 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'hold' (class org.asteriskjava.manager.event.HoldEvent)
2024-08-05 15:29:39.472 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'unhold' (class org.asteriskjava.manager.event.UnholdEvent)
2024-08-05 15:29:39.472 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'bridgeenter' (class org.asteriskjava.manager.event.BridgeEnterEvent)
2024-08-05 15:29:39.472 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'bridgeleave' (class org.asteriskjava.manager.event.BridgeLeaveEvent)
2024-08-05 15:29:39.472 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'attendedtransfer' (class org.asteriskjava.manager.event.AttendedTransferEvent)
2024-08-05 15:29:39.473 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'bridgecreate' (class org.asteriskjava.manager.event.BridgeCreateEvent)
2024-08-05 15:29:39.473 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'bridgedestroy' (class org.asteriskjava.manager.event.BridgeDestroyEvent)
2024-08-05 15:29:39.473 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'blindtransfer' (class org.asteriskjava.manager.event.BlindTransferEvent)
2024-08-05 15:29:39.473 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'skypelicenselistcomplete' (class org.asteriskjava.manager.event.SkypeLicenseListCompleteEvent)
2024-08-05 15:29:39.473 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'confbridgelistrooms' (class org.asteriskjava.manager.event.ConfbridgeListRoomsEvent)
2024-08-05 15:29:39.474 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'peerentry' (class org.asteriskjava.manager.event.PeerEntryEvent)
2024-08-05 15:29:39.474 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'contactstatusdetail' (class org.asteriskjava.manager.event.ContactStatusDetail)
2024-08-05 15:29:39.474 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'originateresponse' (class org.asteriskjava.manager.event.OriginateResponseEvent)
2024-08-05 15:29:39.474 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'queuemember' (class org.asteriskjava.manager.event.QueueMemberEvent)
2024-08-05 15:29:39.475 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'endpointlist' (class org.asteriskjava.manager.event.EndpointList)
2024-08-05 15:29:39.475 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'registrationscomplete' (class org.asteriskjava.manager.event.RegistrationsCompleteEvent)
2024-08-05 15:29:39.475 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'dahdishowchannelscomplete' (class org.asteriskjava.manager.event.DahdiShowChannelsCompleteEvent)
2024-08-05 15:29:39.475 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'agents' (class org.asteriskjava.manager.event.AgentsEvent)
2024-08-05 15:29:39.476 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'transportdetail' (class org.asteriskjava.manager.event.TransportDetail)
2024-08-05 15:29:39.476 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'contactlistcomplete' (class org.asteriskjava.manager.event.ContactListComplete)
